sigma_COD,sigma_NH4,sigma_NOx,sigma_TKN,sigma_Alkalinity,sigma_TSS
7.294955764597821,1.079326853148333,2.805760984945676,1.7002695384433908,0.7897494759600919,8.770941521380346
7.228523549169636,1.0817519601795262,2.808075106121091,1.6347829079991032,0.8034975706384369,8.513072406331409
7.188882527193544,1.078613538420168,2.872158700091066,1.6933166492110903,0.7919317559510456,8.388542350665173
7.471129863750915,1.0243406480767805,2.875321426333136,1.659736951047427,0.8040463229085212,8.44080676620154
7.521130319930527,1.0383557656648401,2.8552381923384207,1.7406166917785932,0.7922084634978399,8.653156338064353
7.449832720360082,1.0604783787549232,2.865833879861428,1.6621308543533757,0.7925048969586357,8.755413550071212
7.24672284349213,1.0856992247624278,2.8042915325912054,1.6280575549634835,0.8178521404274913,8.430474594073488
7.434217952817859,1.0946955580467563,2.8297387715236106,1.727332756303059,0.7970187861449126,8.676872750247451
7.242085447646622,1.077920970853229,2.848686445964088,1.7626524253944558,0.8030928013273549,8.824507478230554
7.671327237286444,1.07857777269871,2.8456514168158367,1.6514944223934072,0.8206534755317836,8.502233200008213
7.683333235623214,1.084085963257298,2.8728028835151305,1.713183221922133,0.7780313070651356,8.690405179227735
7.317109578239403,1.0847140843840322,2.754051281625003,1.6543954990983807,0.7904189924268927,8.940595762105277
7.200112925153475,1.04725508485988,2.7828207252596058,1.6494158674750534,0.8014733043550439,8.412272285923748
7.343250897824486,1.0259234315360175,2.7946088889686616,1.6704071124188347,0.7858720149174867,8.649243609759969
7.512881126252076,1.0915031783476317,2.762714670479212,1.6980857707615,0.7896229673475795,8.530962825205576
7.20475908000514,1.0761598438903026,2.8745046034966464,1.685947074324767,0.8006787007581069,8.645773160475397
7.588300730974303,1.0642950512899267,2.8232049256706997,1.7110046792771765,0.8076483400079215,8.616653322957704
7.282455771071121,1.0554263875646581,2.7916555347793377,1.634503403235647,0.7878802250251984,8.58679715821533
7.356158701673541,1.0758392955144827,2.8768449102383338,1.6915665366784076,0.8032256961564078,8.483083876043702
7.282518678640979,1.0888792983993878,2.80435655341538,1.7355270070880107,0.7875861546769036,8.639319699337973
7.365309114218167,1.0461040323486832,2.891295469720443,1.6908179259702456,0.8304436024965871,8.563301808006676
7.436266271307223,1.040559021968264,2.8125890361735477,1.641208159848424,0.7875474626432822,8.904278285397318
7.42989417732463,1.0780761247769863,2.7961355871527194,1.6951589400488816,0.8185691808081363,8.476358817650528
7.358908223881898,1.0525847812109181,2.745640278867478,1.6815805837566105,0.7876739447387068,8.446520492030196
7.644114405629633,1.0773883016036905,2.892807192168569,1.6873261532312571,0.798068678798271,8.574314338283669
7.323037513484478,1.0496833980647713,2.7948268528376503,1.706205284287692,0.8031229239045925,8.439808152569826
7.325614438444864,1.0411856909544666,2.863683532905651,1.7035707845193953,0.7960565969699975,8.475592398623057
7.490436673578475,1.0824821066096566,2.783074621110457,1.6442934124817041,0.816644107048481,8.565341328613359
7.401356918327006,1.0831349857807404,2.792550720409133,1.6806957462322203,0.8141199838916752,8.427590009746167
7.581555926609655,1.0897162865018866,2.8651299140283695,1.7124341208113323,0.8019641610354916,8.981230867692467
7.375465896897702,1.0762007569067675,2.9070843635296653,1.6434791535225128,0.8205716718719808,8.676284638550325
7.278059340808264,1.0660923434885612,2.894158494977077,1.640963848604756,0.8019228081078772,8.54150758371456
7.695670393806183,1.056488052182289,2.8574688726572006,1.7371773680978908,0.8124575250450945,8.444515680947463
7.769153286932576,1.0595414341054277,2.83290785396334,1.6962941239247522,0.801112314632787,8.558535238158258
7.2888962946908995,1.0566855025080057,2.818907026224996,1.63362176547663,0.7755561384821924,8.571660698494862
7.388630307385352,1.0497023831004841,2.9289792089184274,1.6839663185106086,0.7929217342586291,8.674370541245011
7.299901319016242,1.0846119204574696,2.791610311916156,1.6540487631129788,0.8038886920113418,8.860600728400156
7.422959007345872,1.0416448287227473,2.836275003497454,1.7139869534780845,0.8029532736903966,8.533995056665617
7.409706672920551,1.0964735802587275,2.836024616434131,1.7081454163842824,0.8069846410094564,8.64210501343826
7.30706641864064,1.0804002172791507,2.8625294934146264,1.7214201391137258,0.8054986633319273,8.73268005179784
7.22249557492986,1.0610084582519481,2.7728554332911504,1.658225533858727,0.8133284155781797,8.700438374728263
7.522207007182232,1.105724268211775,2.738165870187247,1.6678970290924628,0.8074294555332706,8.66432496973789
7.484643383417085,1.064046308399665,2.894215710514862,1.673162581420557,0.7759385828335567,8.577944584819955
7.591680877244256,1.0329638256253915,2.8817851540133774,1.661035897296738,0.8044694626879846,8.608453956485016
7.48175820879845,1.041058964085498,2.9400668332773057,1.652410430013111,0.8020261593857688,8.781626771843312
7.6084710289962745,1.026536656258687,2.988393828818851,1.6558540712981817,0.8099590039248079,8.651582023078571
7.136457389449654,1.0642812239812407,2.7934680252738198,1.6404523964168398,0.7882462098915388,8.621055920667004
7.427082507172756,1.0643635838509278,2.8753119000873113,1.6850675988207247,0.8015011400126636,8.379074781305683
7.301566412518965,1.0812037669869778,2.9343593061996893,1.625495330260943,0.7984042780951944,8.46737397887905
7.275511334113279,1.0890521615233524,2.699378611236328,1.7259437622621887,0.8273616521156895,8.803540826177334
7.522480991638422,1.0678714782306071,2.880446172237847,1.7253353158244735,0.7921273078742463,8.443608770253974
7.352945069841771,1.076453993245745,2.85332792848474,1.6876916932853245,0.7782734737754377,8.590789685800665
