k_H,K_X,k_STO,eta_NOX,K_O2,K_NOX,K_S,K_STO,mu_H,K_NH4,K_ALK,b_H_O2,b_H_NOX,b_STO_O2,b_STO_NOX,mu_A,K_A_NH4,K_A_O2,K_A_ALK,b_A_O2,b_A_NOX,f_S_I,Y_STO_O2,Y_STO_NOX,Y_H_O2,Y_H_NOX,Y_A,f_X_I,i_N_S_I,i_N_S_S,i_N_X_I,i_N_X_S,i_N_BM,i_SS_X_I,i_SS_X_S,i_SS_BM
12.693959563234166,0.45864673368568604,10.436962637444248,0.7979493509222532,0.3,0.2714889423131583,1.4074779422017036,0.525,5.529105263245686,0.01,0.1,0.25,0.175,0.25,0.1255,1.3439234905487163,1.1776628854241404,0.3575000615738055,0.3361126096258727,0.1555,0.0755,0.025,0.956171470217571,0.8678836921853161,0.643393324645527,0.8142126599850855,0.33758540638852963,0.2,0.01,0.03,0.03,0.0355,0.0675,0.749999955,0.749999955,0.899999955
13.069321004123857,0.4648726631907351,11.419316927133826,0.8608575422311728,0.3,0.3545049664500264,2.203456010059126,0.525,5.59456501327775,0.01,0.1,0.25,0.175,0.25,0.1255,1.2922978854818667,1.18226379513751,0.4047901003680832,0.47049458135233024,0.1555,0.0755,0.025,0.8358209942191607,0.9343366642758089,0.7315115482252629,0.7913340701930935,0.2949342023443603,0.2,0.01,0.03,0.03,0.0355,0.0675,0.749999955,0.749999955,0.899999955
9.684954888051914,0.3638430272768345,13.083796684509348,0.7257719880620119,0.3,0.384838284257072,4.403791717666019,0.525,6.079312396803668,0.01,0.1,0.25,0.175,0.25,0.1255,1.072723001383676,1.2091129273989605,0.5050904143174183,0.578556007987364,0.1555,0.0755,0.025,0.7846046643373472,0.9106499065270532,0.7979152814769522,0.7201384634036836,0.20255616396644086,0.2,0.01,0.03,0.03,0.0355,0.0675,0.749999955,0.749999955,0.899999955
10.30828864248568,0.3403778136123911,11.124394724200757,0.40455784052268695,0.3,0.19970035323893834,4.350293077836,0.525,6.8776311871102465,0.01,0.1,0.25,0.175,0.25,0.1255,1.516921539396612,1.4925579225585495,0.43910346527359717,0.32888922799396425,0.1555,0.0755,0.025,0.9062026504181256,0.7934706292050058,0.6941240360433802,0.6725677933273246,0.3186343388841557,0.2,0.01,0.03,0.03,0.0355,0.0675,0.749999955,0.749999955,0.899999955
16.698891191206453,0.6229785021840493,8.444161987038719,0.5890917107939224,0.3,0.37492238459876703,0.8200739026537792,0.525,7.126426925586921,0.01,0.1,0.25,0.175,0.25,0.1255,1.2579887480451732,1.5136725519923642,0.30362286450405707,0.44857846942603175,0.1555,0.0755,0.025,0.936160715058054,0.847708183066521,0.6821326924869054,0.7423218814677905,0.23764825632462686,0.2,0.01,0.03,0.03,0.0355,0.0675,0.749999955,0.749999955,0.899999955
7.816428658604744,0.22295867041803794,7.408650363736536,0.5858906925417564,0.3,0.3940414437227227,3.160985815548113,0.525,6.01371992776047,0.01,0.1,0.25,0.175,0.25,0.1255,1.1244716723738573,0.9160850537657277,0.4158554586536809,0.4901830489434706,0.1555,0.0755,0.025,0.6960512552935966,0.7745389604800603,0.8880350362211599,0.827928587852161,0.2966601839731002,0.2,0.01,0.03,0.03,0.0355,0.0675,0.749999955,0.749999955,0.899999955
11.090452450459887,0.34244715729777825,9.5492354107489,0.4038589055562402,0.3,0.30234083745248075,1.629777895097429,0.525,5.871415379707157,0.01,0.1,0.25,0.175,0.25,0.1255,1.1255305461854843,0.8965673088581153,0.2591323760970717,0.9055548007819004,0.1555,0.0755,0.025,0.7582258653441322,0.9197396892034061,0.8332694814220518,0.6122243616844945,0.29226258006625927,0.2,0.01,0.03,0.03,0.0355,0.0675,0.749999955,0.749999955,0.899999955
9.986425210480194,0.3894723706240715,13.355791222364205,0.6708342759104525,0.3,0.2577831214904366,4.430497692656338,0.525,6.710282431277747,0.01,0.1,0.25,0.175,0.25,0.1255,1.6883099564061241,1.3374034055601631,0.4483364691500705,0.7373540187837604,0.1555,0.0755,0.025,0.9550976712983645,0.8562245031506032,0.6471952399066606,0.7587658907710165,0.37653288287219366,0.2,0.01,0.03,0.03,0.0355,0.0675,0.749999955,0.749999955,0.899999955
13.306563634233571,0.2802031679043607,7.840999499773309,1.0200409328479878,0.3,0.18039874826820188,4.332003911665933,0.525,6.8211517814164395,0.01,0.1,0.25,0.175,0.25,0.1255,1.3776782543172619,1.9265411228299243,0.2666734847845715,0.5954106930505348,0.1555,0.0755,0.025,0.8276768139800381,0.9496974002927256,0.7578626030563258,0.8115318165373523,0.20543332838245612,0.2,0.01,0.03,0.03,0.0355,0.0675,0.749999955,0.749999955,0.899999955
14.984239008059445,0.5553304743772619,9.111376721629002,0.743993282880976,0.3,0.3748498339890927,2.1261352161614413,0.525,6.111953253886364,0.01,0.1,0.25,0.175,0.25,0.1255,1.4547378497934234,1.4863985337290933,0.40768897306544777,0.4187878412100899,0.1555,0.0755,0.025,0.8187515297292081,0.7865985571964441,0.7467132727517212,0.8899572784800133,0.28020229590625484,0.2,0.01,0.03,0.03,0.0355,0.0675,0.749999955,0.749999955,0.899999955
10.876842712960856,0.3798637611286554,13.142302432527446,0.4105420672138732,0.3,0.40557253455004466,6.390574789287137,0.525,6.482628813746144,0.01,0.1,0.25,0.175,0.25,0.1255,1.4709692061629733,2.050874088146858,0.30156220986361515,0.6926063737935746,0.1555,0.0755,0.025,0.8092337637376644,0.8472302043409755,0.7865845191812466,0.651308759314508,0.2143982695849957,0.2,0.01,0.03,0.03,0.0355,0.0675,0.749999955,0.749999955,0.899999955
12.82962241905385,0.5536159832873159,12.393493069624808,0.5934288420047594,0.3,0.34464507281110085,1.1512754590877357,0.525,6.230156140224483,0.01,0.1,0.25,0.175,0.25,0.1255,1.3519116871902555,1.2972795518153284,0.3218764691989049,0.33565856631269697,0.1555,0.0755,0.025,0.9317367382957035,0.8910671784385649,0.670871774942763,0.713491947312658,0.3197972209107334,0.2,0.01,0.03,0.03,0.0355,0.0675,0.749999955,0.749999955,0.899999955
15.13700943871569,0.03873603121016532,8.385004064124507,0.6034369074721297,0.3,0.3655587528298533,0.8899297916496711,0.525,6.415587489974664,0.01,0.1,0.25,0.175,0.25,0.1255,1.8724528851377338,1.6727348373446687,0.44319773755656233,0.6423069405433036,0.1555,0.0755,0.025,0.7464048155595387,0.8785279887128077,0.8355659638823721,0.7543890337470375,0.35431483859942936,0.2,0.01,0.03,0.03,0.0355,0.0675,0.749999955,0.749999955,0.899999955
13.085558571106255,0.22457672805611648,8.601510066816196,0.4155028111766319,0.3,0.4513655588758094,0.13121137069684444,0.525,6.606825823618471,0.01,0.1,0.25,0.175,0.25,0.1255,1.437708059576244,1.7041768870885252,0.21311703145650107,0.4962965284542532,0.1555,0.0755,0.025,0.8356952911309474,0.9469645348484597,0.7759876007750796,0.5942219320134845,0.26486630220075874,0.2,0.01,0.03,0.03,0.0355,0.0675,0.749999955,0.749999955,0.899999955
7.125824482291516,0.04569448222837336,10.158943850233392,0.5003204667012341,0.3,0.3694026830174542,4.052260932248381,0.525,5.212698878394944,0.01,0.1,0.25,0.175,0.25,0.1255,1.3758890022170451,1.3898697575512924,0.31502833539842817,0.5729313138715981,0.1555,0.0755,0.025,0.6199340347401467,0.8001895135770449,1.025273682480982,0.7695903752232609,0.28584517560318173,0.2,0.01,0.03,0.03,0.0355,0.0675,0.749999955,0.749999955,0.899999955
8.252701157599041,0.010645925115648434,11.418508254778443,0.6791214412738874,0.3,0.32394375878214254,4.507112446691318,0.525,5.668991897624722,0.01,0.1,0.25,0.175,0.25,0.1255,1.1510333934905215,1.201278927445854,0.2621721680450285,0.5022732522907738,0.1555,0.0755,0.025,0.7701841801901,1.021389128407497,0.8294381151180895,0.6473714616255136,0.27199828307222373,0.2,0.01,0.03,0.03,0.0355,0.0675,0.749999955,0.749999955,0.899999955
9.03042466147724,0.3139945533296824,10.637360292456075,0.2935174706600416,0.3,0.29895371970300194,3.5389447998746792,0.525,6.09109443739779,0.01,0.1,0.25,0.175,0.25,0.1255,1.2286162559043319,1.414705491392876,0.19402584163790842,0.4389949760368127,0.1555,0.0755,0.025,0.8706833583496427,0.669650232993357,0.7311358386885463,0.654745496316036,0.26752944843191057,0.2,0.01,0.03,0.03,0.0355,0.0675,0.749999955,0.749999955,0.899999955
10.697663041127642,0.44996356213877803,11.839100416924472,0.8101731159643005,0.3,0.3907780616869657,2.849994992976476,0.525,6.110617201766277,0.01,0.1,0.25,0.175,0.25,0.1255,0.8880178173957457,1.34852567907314,0.4727496998026275,0.3393196774287456,0.1555,0.0755,0.025,0.6189850775472266,0.8445104908291791,0.989759089516003,0.857058377126866,0.154552859261991,0.2,0.01,0.03,0.03,0.0355,0.0675,0.749999955,0.749999955,0.899999955
13.251024019323232,0.5477657148913196,11.757107174604084,0.62343127032062,0.3,0.2521905765322077,0.4997001084366301,0.525,6.064013166544981,0.01,0.1,0.25,0.175,0.25,0.1255,1.0221932620203287,1.358689718601552,0.48539767935132505,0.5383556183884858,0.1555,0.0755,0.025,0.6289569517427057,0.7955472579201534,0.9832669003276169,0.8106044349468867,0.17745896883194184,0.2,0.01,0.03,0.03,0.0355,0.0675,0.749999955,0.749999955,0.899999955
13.083462834659377,0.33159038443358785,10.892795547695895,0.5192218145549802,0.3,0.41661261279929196,4.775069720337218,0.525,5.9052425085483105,0.01,0.1,0.25,0.175,0.25,0.1255,1.1812741839594125,1.2351016999970423,0.25773355104242424,0.485192889099771,0.1555,0.0755,0.025,1.0163609307373052,0.9247183845416521,0.6211561446179719,0.6704598086678113,0.27546870240728033,0.2,0.01,0.03,0.03,0.0355,0.0675,0.749999955,0.749999955,0.899999955
10.612800007512183,0.023921484639190825,10.94523052215652,0.6644196720039761,0.3,0.3388691423035612,5.968314144485331,0.525,6.3882225495746034,0.01,0.1,0.25,0.175,0.25,0.1255,1.5783998278405862,1.8918021705574384,0.384460384827163,0.42087046771441766,0.1555,0.0755,0.025,0.76447483968201,0.953924947152533,0.8340981033441128,0.7239735365067341,0.2575834704954384,0.2,0.01,0.03,0.03,0.0355,0.0675,0.749999955,0.749999955,0.899999955
16.22709596351446,0.5914581025805556,7.627334783812158,0.45871717512105775,0.3,0.25700227101150075,0.6977869140466434,0.525,5.764220006437148,0.01,0.1,0.25,0.175,0.25,0.1255,1.5366261458811274,1.9755085953253937,0.35102819693968557,0.612731805130847,0.1555,0.0755,0.025,0.8085690105271546,0.9613263836594582,0.788820912191582,0.5873431590885111,0.23327716060050874,0.2,0.01,0.03,0.03,0.0355,0.0675,0.749999955,0.749999955,0.899999955
12.690025579653543,0.34335711860726315,10.64149555382635,0.5859183400512933,0.3,0.24404317220206884,2.3670372372838804,0.525,6.431714896499102,0.01,0.1,0.25,0.175,0.25,0.1255,1.252616809109854,1.3386109702440314,0.23057678134193357,0.620205892718766,0.1555,0.0755,0.025,0.8958517443634637,1.0036675346289046,0.7031650582983966,0.6507253544541065,0.2676268796475466,0.2,0.01,0.03,0.03,0.0355,0.0675,0.749999955,0.749999955,0.899999955
10.645254893448556,0.2504544102103607,10.26767428083218,0.661782018239269,0.3,0.26692523160329523,1.4942530276072739,0.525,5.690544563415493,0.01,0.1,0.25,0.175,0.25,0.1255,1.3470344271328745,1.3449603420409937,0.17392327736354174,0.5192396457620447,0.1555,0.0755,0.025,0.7119058096196555,0.8480650897360359,0.8709726236228835,0.7942064918166831,0.3073587712018341,0.2,0.01,0.03,0.03,0.0355,0.0675,0.749999955,0.749999955,0.899999955
12.65593412853009,0.5086349854059139,8.05828157397779,0.5664060641191646,0.3,0.38756705487393156,1.3220789760031157,0.525,6.313093934777132,0.01,0.1,0.25,0.175,0.25,0.1255,1.2802247860739697,1.279270934389584,0.36605656524924873,0.45262638618032947,0.1555,0.0755,0.025,0.7925315633171183,1.2821323094714925,0.7759991865541872,0.4890762432035504,0.2877824938996828,0.2,0.01,0.03,0.03,0.0355,0.0675,0.749999955,0.749999955,0.899999955
10.968744145695199,0.308742337906061,12.481550902299494,0.4028214505546591,0.3,0.5237772602390102,1.1403915635005566,0.525,6.625396532255663,0.01,0.1,0.25,0.175,0.25,0.1255,1.775987952690331,1.955619729739287,0.3324410035623179,0.7854667800297047,0.1555,0.0755,0.025,0.9107363300211246,0.7972130298263397,0.7010741818591189,0.65960212877713,0.2818296675939012,0.2,0.01,0.03,0.03,0.0355,0.0675,0.749999955,0.749999955,0.899999955
7.814853899455588,0.0014642446165449997,7.892469822480517,0.5792415540687061,0.3,0.3424172744124266,2.088249466967174,0.525,6.139576618161625,0.01,0.1,0.25,0.175,0.25,0.1255,1.1526402636032285,1.3518709992861353,0.3682638811748894,0.7276334097378071,0.1555,0.0755,0.025,0.9694731791850074,0.8658334127649027,0.6733555983180642,0.7076849513998734,0.2214779395480597,0.2,0.01,0.03,0.03,0.0355,0.0675,0.749999955,0.749999955,0.899999955
