Fixed Parameters,Identifiable Parameters,Non-Identifiable Parameters,Special Case Parameters
i_SS_BM,k_H,K_NOX,i_N_BM
i_SS_X_I,K_X,K_A_O2,
i_SS_X_S,k_STO,K_A_ALK,
f_S_I,eta_NOX,Y_H_NOX,
i_N_S_I,K_S,,
K_NH4,mu_H,,
i_N_X_I,b_H_O2,,
i_N_S_S,mu_A,,
K_ALK,K_A_NH4,,
K_STO,Y_STO_O2,,
b_A_NOX,Y_STO_NOX,,
b_STO_NOX,Y_H_O2,,
b_H_NOX,Y_A,,
f_X_I,,,
b_A_O2,,,
i_N_X_S,,,
b_STO_O2,,,
K_O2,,,
