k_H,K_X,k_STO,eta_NOX,K_O2,K_NOX,K_S,K_STO,mu_H,K_NH4,K_ALK,b_H_O2,b_H_NOX,b_STO_O2,b_STO_NOX,mu_A,K_A_NH4,K_A_O2,K_A_ALK,b_A_O2,b_A_NOX,f_S_I,Y_STO_O2,Y_STO_NOX,Y_H_O2,Y_H_NOX,Y_A,f_X_I,i_N_S_I,i_N_S_S,i_N_X_I,i_N_X_S,i_N_BM,i_SS_X_I,i_SS_X_S,i_SS_BM
13.844520300923143,0.47714537217180986,31.80396232377721,5.079730622431426,0.3,2.711132887466509,21.708629146952628,0.525,5.378807059606695,0.01,0.1,0.25,0.175,0.25,0.1255,3.238359234050825,1.489034645555746,2.5532341764877353,0.588500604883598,0.1555,0.0755,0.025,1.0070163789039948,0.5090627556596369,0.5068505147252922,2.6874916346017583,0.39968707679548027,0.2,0.01,0.03,0.03,0.0355,0.0675,0.749999955,0.749999955,0.899999955
13.549717638323743,0.34055243383521794,34.955137039830156,5.626940176121834,0.3,1.1574742083327427,25.369474198009886,0.525,4.254831693880686,0.01,0.1,0.25,0.175,0.25,0.1255,2.7995186963679557,1.7717938580766757,2.554857185050816,0.01900237956210726,0.1555,0.0755,0.025,0.8457905284517935,0.5038513811266286,0.5763305157452948,2.788199062673753,0.2968212966796424,0.2,0.01,0.03,0.03,0.0355,0.0675,0.749999955,0.749999955,0.899999955
7.182156369110158,0.001062351755425991,31.43329399064954,5.177546855918442,0.3,1.6715756394183179,20.471633356004283,0.525,4.8617015833198405,0.01,0.1,0.25,0.175,0.25,0.1255,3.4816714334426453,2.46640122363748,1.1329945596119693,0.6702900348041634,0.1555,0.0755,0.025,0.7898975829410718,0.520645058409452,0.6124388731788194,2.617755434242848,0.4455483939950351,0.2,0.01,0.03,0.03,0.0355,0.0675,0.749999955,0.749999955,0.899999955
5.666578221032934,0.03447288656519153,20.40276242803841,3.5317192474094132,0.3,2.7230405225238035,10.140662784439085,0.525,5.807958956268134,0.01,0.1,0.25,0.175,0.25,0.1255,3.417960151381094,1.1368262337568291,2.507073240311256,0.2608213023570268,0.1555,0.0755,0.025,0.9558396687145574,0.5316418221672753,0.5440057075879283,2.446850324257751,0.6436962443998844,0.2,0.01,0.03,0.03,0.0355,0.0675,0.749999955,0.749999955,0.899999955
10.44298483509913,0.4259943865750949,20.145096117772436,3.6668942640708786,0.3,1.0186683475011313,10.191462739131468,0.525,4.889774600001671,0.01,0.1,0.25,0.175,0.25,0.1255,2.5863012568454025,3.303887606379492,1.3474586864451186,0.3364674076330502,0.1555,0.0755,0.025,1.0114304055539658,0.46882551474072515,0.5481207611444228,2.857362441414122,0.1996364564559097,0.2,0.01,0.03,0.03,0.0355,0.0675,0.749999955,0.749999955,0.899999955
13.799471600823692,0.40302285513766295,34.80349678709729,5.496486131293225,0.3,2.284365413688915,25.101055721632733,0.525,4.883884253663221,0.01,0.1,0.25,0.175,0.25,0.1255,3.1774115681343242,0.755963956541188,2.9774112784377236,0.38550036111493685,0.1555,0.0755,0.025,1.018042096104756,0.5695490656804149,0.45746199971443,2.3985801976436325,0.7046485834216102,0.2,0.01,0.03,0.03,0.0355,0.0675,0.749999955,0.749999955,0.899999955
11.550044836427505,0.4001125035414377,42.71814356604185,6.825711728374412,0.3,0.41799460291666996,31.72619856471904,0.525,4.171310202732837,0.01,0.1,0.25,0.175,0.25,0.1255,3.71340957414723,2.149224011224666,0.5567746706652101,0.8377370424354975,0.1555,0.0755,0.025,0.5002687449779577,0.5943923236861413,0.6471076988207941,2.2804199842672364,0.7837221902467775,0.2,0.01,0.03,0.03,0.0355,0.0675,0.749999955,0.749999955,0.899999955
10.733756408630637,0.6251180225981696,30.985783376513705,4.7822568536065715,0.3,5.264340965594821,19.17611927387664,0.525,5.647302953849191,0.01,0.1,0.25,0.175,0.25,0.1255,3.6459045607791523,0.9465227154435052,3.5611967498641786,0.20433463316521835,0.1555,0.0755,0.025,0.5111597918810831,0.5434578602378634,0.7617240233198399,2.475553943163962,0.6383500169589624,0.2,0.01,0.03,0.03,0.0355,0.0675,0.749999955,0.749999955,0.899999955
11.410813175384206,0.2781947761023388,29.82769556390233,4.658469169529948,0.3,4.96789290917036,18.30020604524899,0.525,4.6125875479771,0.01,0.1,0.25,0.175,0.25,0.1255,3.8024874992373032,1.2972613289671269,2.756305738356272,0.8631143693683866,0.1555,0.0755,0.025,0.5770722250982703,0.5332214577019092,0.7585879595228425,2.547849609335485,0.5479616209177534,0.2,0.01,0.03,0.03,0.0355,0.0675,0.749999955,0.749999955,0.899999955
11.655545014639,0.7922561062599242,25.604012898871304,4.055478087539547,0.3,4.453146892160948,15.61746554584331,0.525,5.309610619472731,0.01,0.1,0.25,0.175,0.25,0.1255,3.1615343487586323,0.6908460668872479,3.758791700421274,0.5277099253368149,0.1555,0.0755,0.025,0.8314354510932375,0.5314802010574827,0.5707878058736674,2.5437836262700375,0.5682136272757939,0.2,0.01,0.03,0.03,0.0355,0.0675,0.749999955,0.749999955,0.899999955
