Fixed Parameters,Identifiable Parameters,Non-Identifiable Parameters,Special Case Parameters
i_SS_BM,k_H,k_STO,
i_SS_X_I,K_X,eta_NOX,
i_SS_X_S,mu_H,K_NOX,
f_S_I,Y_STO_O2,K_S,
K_NH4,Y_STO_NOX,mu_A,
i_N_S_I,Y_H_O2,K_A_NH4,
i_N_X_I,,K_A_O2,
i_N_S_S,,K_A_ALK,
K_ALK,,Y_H_NOX,
K_STO,,Y_A,
b_A_NOX,,,
b_STO_NOX,,,
i_N_X_S,,,
b_H_NOX,,,
f_X_I,,,
b_A_O2,,,
i_N_BM,,,
K_O2,,,
b_STO_O2,,,
b_H_O2,,,
