sigma_COD,sigma_NH4,sigma_NOx,sigma_TKN,sigma_Alkalinity,sigma_TSS
1.3381004898103117,0.11936510522028665,0.47916403810778735,5.9531524753860365,0.12458866332191358,4.187251783447555
1.3174619453390746,0.11204761628070835,0.41336124287357917,5.765825630250821,0.10912149969859958,4.353620934648168
1.6626894846024884,0.12413521319727144,0.46429201632636646,5.319376081668407,0.11395880500333436,4.024321812034659
1.3706048037699146,0.12789916887142308,0.4445827342522974,6.025412697149253,0.10778618610966417,4.063756782879379
1.491070397442431,0.13590963066390993,0.4422261323348705,6.091150897118422,0.10395640609375419,4.165441972524658
1.2884909967797766,0.11988954393215907,0.4488809971533308,6.028363893137119,0.1256009752670318,3.5843756377989857
1.6129664279524079,0.13032649248353653,0.4151043118559063,5.696645281440531,0.1405823805614227,4.134260211826928
1.5699872572705058,0.12669702027583457,0.41074931457643393,5.415744589690224,0.13072249627302426,3.6603891018716537
1.4884490976743874,0.13555689054859046,0.43836495765828815,6.102952231552487,0.10375999694565109,4.178423954699047
1.1571682601617188,0.10975199486878232,0.4291079132237952,5.421035526283016,0.11581406444252726,4.507196217745444
1.4677710450389505,0.1341701862145414,0.45494000537832385,5.881638212142731,0.12982230276189263,3.331068955768371
1.4421785237261278,0.11607207927946936,0.4134325937463144,5.411513352614819,0.12338990514755716,4.076326173551597
1.1841332444186792,0.12143333462640399,0.47720050405886266,5.750490466264896,0.13667634637868684,3.988012458129763
1.6350436478029795,0.14472506076133257,0.5213349703393082,5.877427957812183,0.11516514253360817,3.7762639410369294
1.332472444615016,0.11975534315415022,0.4608036105347122,6.3810793456390575,0.12134041761061407,3.714594969677561
1.5714457057159412,0.1353366166520071,0.5048715154709681,5.8342136032288225,0.13233386153327154,4.137441747810994
1.5279111984198792,0.15550725832064663,0.4204866446671651,5.849719578033258,0.11938982573401853,3.509682423671485
1.385827871141175,0.1280535543879568,0.5349474328522702,5.276598287230279,0.12154172044740211,4.553843564041884
1.5904582388905066,0.14318455635520413,0.472205802738805,6.0608443577223,0.11516832917740111,3.89492351829732
1.3142040436599247,0.12380777891742072,0.4670287843718805,5.888649665718484,0.12287449316984865,3.4835099867802795
1.365213504472188,0.13325238344169588,0.5042770475613164,5.6589104904978145,0.14052943046600505,3.83722810952979
1.4864313322808143,0.11944202307479475,0.47252252912550735,5.46760654688003,0.13634273644685332,4.104926221420276
1.3090795266667943,0.11775918723001928,0.4028517541055432,5.786864057339501,0.12581134570557348,4.663267010357146
1.4491673630205721,0.14386983686223792,0.48030378191470025,6.022502716984409,0.14083104248183048,3.512111841039514
1.4552387198763421,0.1245465568987413,0.4387273571137616,6.004771175080524,0.13009333835876333,3.824115071927105
1.3930887825933223,0.11970906291022199,0.48044014440887706,6.198890156051178,0.11586544348913651,3.685337260279549
1.4113878311432904,0.14415271716833017,0.4647046976024181,5.576452460371,0.10179900927517932,4.7052923554533495
1.4881058052580798,0.11888638389998081,0.43932047822443593,6.019430686906927,0.12201271908217565,4.33932139867232
1.3844835135110418,0.11423971612775007,0.35541488917007635,5.673781733376395,0.16134663510144123,4.425649794339536
1.3292708903031685,0.12352825864152799,0.4328379585120805,4.724579679028479,0.1099532881597952,4.0890440108930175
1.5332453669470019,0.13975505809974614,0.470476576484111,5.187541631946813,0.11869209551486158,3.9871000134413705
1.3283741202224624,0.1392744185294237,0.4034453953601756,5.737360680298319,0.16549028251568598,4.358689158425566
1.6011201532259756,0.13490103485529004,0.42945317499978103,6.074600723147344,0.15951363440000624,3.789433988882478
1.2515971467895017,0.13029609854272356,0.4276250904957115,5.889976963488678,0.1203341993620684,4.291558008590478
1.3514059855907208,0.12930066096121898,0.5019187831259122,5.769572124878582,0.12910001188114248,3.837293489467732
1.310851478546811,0.10738735311934035,0.4372722043076607,5.670705169552101,0.12187073308129436,4.112970989984051
1.562166616694714,0.11272703005567218,0.38741921944750973,6.263280726479085,0.11357173835927475,4.661916010732751
1.5037520281178514,0.1664142225474785,0.45133465636394726,5.543277055747038,0.12572825646408364,4.290438117208971
1.493035143236663,0.13346458069262815,0.4296016491485206,5.091068117105727,0.12152575014709213,3.890686159711978
1.6900854175308313,0.11807166549247568,0.42022712442494886,5.32195335371114,0.11828815272645993,3.9857888091343403
1.3941242949081127,0.1272611101074199,0.476098626827446,5.425718396485135,0.11648338815414346,3.7068899173931142
1.8236068490411317,0.11831219179667615,0.5361926707666498,5.400051481576938,0.13055118387063358,4.960600509453772
1.3047477356285948,0.16508680448994792,0.5335419052681357,5.844776320706449,0.13740783054123554,3.4287964483280446
1.5012075046161943,0.1490188235633892,0.42936029975428996,5.9255478819896865,0.13150986553242375,4.212428383871442
1.338089489667926,0.1100098388397683,0.4481049632109407,5.750851031569476,0.15312330192182277,3.8722706014736947
