Fixed Parameters,Identifiable Parameters,Non-Identifiable Parameters,Special Case Parameters
i_SS_BM,k_H,,
i_SS_X_I,K_X,,
i_SS_X_S,k_STO,,
f_S_I,eta_NOX,,
i_N_S_I,K_NOX,,
K_NH4,K_S,,
i_N_X_I,mu_H,,
i_N_S_S,b_H_O2,,
K_ALK,b_STO_O2,,
K_STO,mu_A,,
b_A_NOX,K_A_NH4,,
i_N_X_S,K_A_O2,,
b_H_NOX,K_A_ALK,,
b_STO_NOX,Y_STO_O2,,
f_X_I,Y_STO_NOX,,
b_A_O2,Y_H_O2,,
i_N_BM,Y_H_NOX,,
K_O2,Y_A,,
